gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Os01g0106400,1505.329617,3.101885305,0.36513521,8.495168971,1.98E-17,1.25E-15
Os01g0110050,19.43302031,-2.050249514,0.537455525,-3.814733344,0.00013633,0.00090899
Os01g0110100,156.803114,-2.329589394,0.288274999,-8.081135731,6.42E-16,3.44E-14
Os01g0113500,50.89356661,4.106342236,0.473408545,8.673992647,4.17E-18,2.85E-16
Os01g0114100,810.6325914,2.203665159,0.263529524,8.362118689,6.16E-17,3.67E-15
Os01g0119000,142.0710115,2.358802716,0.292195519,8.07268614,6.88E-16,3.65E-14
Os01g0121500,200.3739416,2.020999856,0.296913158,6.806703587,9.99E-12,2.97E-10
Os01g0121600,643.6746938,2.246903806,0.222959678,10.077624,6.94E-24,8.23E-22
Os01g0124550,11.91319604,-6.206022191,1.30681185,-4.748979121,2.04E-06,2.21E-05
Os01g0126100,352.6055603,3.392530028,0.311447773,10.89277345,1.25E-27,2.06E-25
Os01g0134700,1905.462898,2.06994832,0.194486924,10.64312332,1.88E-26,2.75E-24
Os01g0135600,98.33408984,-2.75695953,0.440166597,-6.263445586,3.77E-10,8.58E-09
Os01g0150500,8.054736336,4.978857245,1.262255463,3.944413306,8.00E-05,0.000572661
Os01g0151700,16.27120588,2.017320865,0.607056394,3.323119379,0.000890168,0.004509252
Os01g0155000,5650.077713,3.176342256,0.241747723,13.13907829,1.97E-39,8.83E-37
Os01g0163450,7.780458613,4.914665774,1.208145134,4.067943195,4.74E-05,0.000364819
Os01g0164075,9.606455012,3.931614663,1.060329957,3.707916237,0.000208972,0.001316913
Os01g0164300,79.05880464,3.734969001,0.319704889,11.68255203,1.57E-31,3.57E-29
Os01g0172600,369.0305633,-2.094231621,0.230035862,-9.103935391,8.71E-20,7.00E-18
Os01g0173600,1049.638588,-2.750337425,0.435675192,-6.312816229,2.74E-10,6.34E-09
Os01g0175850,124.2897396,2.145777619,0.407178487,5.269869818,1.37E-07,1.91E-06
Os01g0183850,109.924852,3.305007978,0.37511743,8.810595589,1.24E-18,8.98E-17
Os01g0183950,54.28018556,2.590879371,0.507412775,5.106058614,3.29E-07,4.26E-06
Os01g0192500,99.81663411,-2.142159981,0.411217288,-5.20931402,1.90E-07,2.58E-06
Os01g0195300,51.40662091,2.489957828,0.369597762,6.736939671,1.62E-11,4.65E-10
Os01g0200200,15.41315597,-2.551259117,0.681338978,-3.744478447,0.000180769,0.001159142
Os01g0200600,13.69062878,2.294117881,0.656292778,3.495570815,0.000473049,0.002653872
Os01g0214500,323.478587,2.931337054,0.331626893,8.839262178,9.64E-19,7.00E-17
Os01g0216000,137.8559997,-6.218551425,0.806846373,-7.707231062,1.29E-14,5.85E-13
Os01g0221900,33.57259704,-2.209022857,0.424209264,-5.207389476,1.92E-07,2.61E-06
Os01g0222900,15.05445271,2.50859801,0.599191498,4.186638195,2.83E-05,0.000231268
Os01g0228400,203.0455055,-3.043972824,0.959842519,-3.171325259,0.001517451,0.007094043
Os01g0229800,8.2477253,-5.770724731,1.541299981,-3.744063324,0.000181068,0.001160307
Os01g0237100,39.61610823,-2.282314353,0.708273537,-3.222362878,0.00127138,0.006119303
Os01g0237500,452.0116637,-3.762671849,0.385179535,-9.768618289,1.54E-22,1.65E-20
Os01g0237750,318.1710695,-3.72863691,0.379568443,-9.823358545,8.93E-23,9.95E-21
Os01g0241400,23.40307189,4.238693815,0.810100936,5.232303319,1.67E-07,2.31E-06
Os01g0242800,18.67923202,-2.423171286,0.484028268,-5.006259855,5.55E-07,6.82E-06
Os01g0247700,2154.435807,-2.041357859,0.232003321,-8.798830328,1.38E-18,9.95E-17
Os01g0248701,27.97601352,-2.47522517,0.681799118,-3.630431758,0.000282948,0.001707071
Os01g0256500,133249.3573,-2.294724217,0.239293293,-9.589588534,8.84E-22,8.60E-20
Os01g0259966,13.75239979,-3.075006923,0.899512425,-3.418526347,0.000629612,0.0033843
Os01g0266500,1224.642734,2.595000811,0.22327911,11.62222838,3.18E-31,7.03E-29
Os01g0267300,1087.354242,2.667908142,0.251536064,10.60646373,2.78E-26,4.04E-24
Os01g0280500,169.8829365,2.262491349,0.539980238,4.189952129,2.79E-05,0.000228293
Os01g0284900,107.8393111,2.331181173,0.394991543,5.901850846,3.59E-09,6.88E-08
Os01g0288200,100.6071013,2.092814226,0.272876225,7.669463412,1.73E-14,7.72E-13
Os01g0288800,15.42336584,2.634347773,0.831729375,3.167313613,0.001538543,0.007174543
Os01g0289100,30.10340703,2.026474235,0.65260893,3.105189251,0.001901573,0.008553905
Os01g0302250,63.76249878,-2.314362721,0.499134083,-4.636755534,3.54E-06,3.60E-05
Os01g0307500,975.6297709,-3.492549332,0.267254004,-13.06827693,5.00E-39,2.00E-36
Os01g0307686,907.1049828,2.905104564,0.166073116,17.49292501,1.62E-68,2.83E-65
Os01g0308200,30.16858893,-2.7908203,0.49358143,-5.654224678,1.57E-08,2.66E-07
Os01g0309800,364.8151458,-2.295902961,0.321972131,-7.130750581,9.98E-13,3.51E-11
Os01g0310700,14.21469162,4.881273597,0.922661735,5.290425959,1.22E-07,1.73E-06
Os01g0315600,21.10135367,2.053741863,0.55688826,3.687888598,0.000226123,0.001409358
Os01g0322700,61.84798783,3.773746263,0.711056036,5.307241724,1.11E-07,1.60E-06
Os01g0330100,49.99693545,2.164599114,0.480275951,4.506990429,6.58E-06,6.26E-05
Os01g0337500,1182.697031,2.074971081,0.137519536,15.08855501,1.93E-51,1.84E-48
Os01g0339500,64.11421861,-2.227193305,0.338579372,-6.578053733,4.77E-11,1.27E-09
Os01g0342900,89.16222483,4.658000665,0.589303724,7.904244408,2.70E-15,1.32E-13
Os01g0353400,20.8625501,3.302838898,0.897945093,3.678219217,0.000234868,0.001456748
Os01g0355250,613.7631399,-3.589289886,0.303468773,-11.82754275,2.81E-32,6.83E-30
Os01g0369700,4688.164362,3.188118904,0.256055294,12.45090018,1.38E-35,4.06E-33
Os01g0370750,40.19767197,3.163343239,0.65356112,4.840164359,1.30E-06,1.46E-05
Os01g0371200,35.77166629,2.148272029,0.631775344,3.400373325,0.000672939,0.003576301
Os01g0372400,5.731669444,5.907152745,1.418184732,4.165291455,3.11E-05,0.000250477
Os01g0373700,498.1132109,2.411471068,0.3339875,7.220243482,5.19E-13,1.89E-11
Os01g0373800,337.5249925,2.762869949,0.261510068,10.5650615,4.33E-26,6.05E-24
Os01g0501800,3307.868415,-4.052481793,1.132945293,-3.576943933,0.000347635,0.00203702
Os01g0508100,348.0282304,2.076974551,0.293999667,7.06454728,1.61E-12,5.47E-11
Os01g0511100,324.4405072,2.386450963,0.268045933,8.903141853,5.43E-19,4.05E-17
Os01g0557100,1211.405368,4.294070101,0.173823368,24.70364107,9.77E-135,9.66E-131
Os01g0558100,166.9547211,3.304034741,0.460443257,7.175769627,7.19E-13,2.58E-11
Os01g0558700,145.7152995,2.811918186,0.254839595,11.03407102,2.62E-28,4.59E-26
Os01g0562400,70.92446822,2.066297462,0.290596906,7.11052808,1.16E-12,4.01E-11
Os01g0580500,78.8677472,2.499264728,0.397752929,6.283460273,3.31E-10,7.60E-09
Os01g0585200,568.1320178,4.295478108,0.240606676,17.85269711,2.75E-71,5.10E-68
Os01g0597600,18.50954034,-3.137747942,0.74828695,-4.193241569,2.75E-05,0.000225131
Os01g0597800,1615.283422,4.233606605,0.300502991,14.08840089,4.48E-45,3.16E-42
Os01g0608200,92.57821565,-3.653150489,0.433860897,-8.420096202,3.76E-17,2.32E-15
Os01g0608300,120.1821083,-3.957885681,0.528665524,-7.486559089,7.07E-14,2.89E-12
Os01g0615100,1267.630094,2.293694025,0.285570872,8.031960725,9.59E-16,4.96E-14
Os01g0623200,850.9435255,-2.071483719,0.286729425,-7.224524376,5.03E-13,1.84E-11
Os01g0627400,1001.851772,2.830871656,0.169452876,16.70595225,1.19E-62,1.60E-59
Os01g0627500,1283.508801,2.408609812,0.27230852,8.845150389,9.14E-19,6.72E-17
Os01g0627550,19.85111125,2.922985325,0.743291152,3.932490409,8.41E-05,0.000598363
Os01g0627600,2951.618256,3.051858573,0.231855942,13.16273606,1.44E-39,6.56E-37
Os01g0627900,1014.703518,2.306540063,0.363344671,6.348077316,2.18E-10,5.14E-09
Os01g0627967,3901.647683,3.192115004,0.420281739,7.595178926,3.07E-14,1.33E-12
Os01g0628000,191.9975639,3.020538634,0.494674062,6.106118885,1.02E-09,2.15E-08
Os01g0629600,696.535253,2.408621249,0.301182246,7.997221878,1.27E-15,6.50E-14
Os01g0634600,10.27624945,2.823787399,0.895407377,3.153634278,0.00161251,0.007467779
Os01g0638000,1499.849912,5.382269205,0.29146408,18.46632079,3.85E-76,9.91E-73
Os01g0638800,11.52970877,-3.386484154,0.765890752,-4.421628208,9.80E-06,8.97E-05
Os01g0644500,668.1364467,-2.145152701,0.375404814,-5.714238662,1.10E-08,1.93E-07
Os01g0647200,289.5681147,3.146443867,0.586646516,5.363440817,8.17E-08,1.19E-06
Os01g0653300,95.23258965,4.717017311,0.490170331,9.623220778,6.38E-22,6.37E-20
Os01g0656300,3.033166769,-5.114036412,1.626607248,-3.143989687,0.001666613,0.007676364
Os01g0660200,8251.397387,2.540851347,0.165920046,15.31370928,6.19E-53,6.56E-50
Os01g0667200,2936.515671,2.234240033,0.132217841,16.89817358,4.64E-64,6.55E-61
Os01g0674400,150.7216167,2.248882809,0.317556606,7.081832869,1.42E-12,4.86E-11
Os01g0674450,104.846091,3.092133664,0.392217223,7.883727387,3.18E-15,1.54E-13
Os01g0676800,4.472575901,5.238636852,1.572438099,3.331537729,0.000863676,0.004398352
Os01g0681600,5726.90331,-2.153253953,0.356439685,-6.041005093,1.53E-09,3.15E-08
Os01g0681700,308.3375427,-2.812635271,0.344905376,-8.154802631,3.50E-16,1.92E-14
Os01g0686500,13.7688233,2.491989087,0.759653148,3.280430146,0.001036489,0.005134727
Os01g0692000,419.9870019,2.875897643,0.265296859,10.84030037,2.22E-27,3.53E-25
Os01g0692050,96.3168255,3.84938814,0.413938786,9.299414005,1.41E-20,1.22E-18
Os01g0692100,709.7107484,3.42033346,0.311635291,10.97543685,5.02E-28,8.55E-26
Os01g0694500,30.3833183,3.992960636,0.714207771,5.590754954,2.26E-08,3.72E-07
Os01g0695800,339.6137076,2.544195579,0.434408921,5.856683546,4.72E-09,8.83E-08
Os01g0697100,2185.391881,4.223428189,0.334417812,12.6291963,1.46E-36,4.60E-34
Os01g0706600,182.1223302,3.147504609,0.249155618,12.63268567,1.39E-36,4.44E-34
Os01g0712800,13.82616731,-2.442850338,0.67775944,-3.604302933,0.000312992,0.00186237
Os01g0715500,58.64015105,2.47427596,0.451815861,5.476292835,4.34E-08,6.71E-07
Os01g0716450,60.31624321,2.227944226,0.36413514,6.11845433,9.45E-10,2.01E-08
Os01g0716500,1880.673842,2.323382776,0.254564801,9.126881494,7.05E-20,5.74E-18
Os01g0716550,35.11005196,2.91879024,0.590841463,4.940056548,7.81E-07,9.27E-06
Os01g0727500,216.0426765,2.12685576,0.256582595,8.28916614,1.14E-16,6.64E-15
Os01g0727700,297.2737593,2.280539959,0.277081183,8.230584027,1.86E-16,1.07E-14
Os01g0731201,33.42118201,-2.851118763,0.415283886,-6.86546928,6.63E-12,2.05E-10
Os01g0734000,302.573144,2.441557017,0.368557773,6.624624938,3.48E-11,9.53E-10
Os01g0734800,4635.809732,2.844590868,0.263353402,10.80142061,3.39E-27,5.34E-25
Os01g0735500,243.4011054,-2.127311924,0.447183844,-4.757130551,1.96E-06,2.13E-05
Os01g0736100,44.59357627,2.885277156,0.514734697,5.605367532,2.08E-08,3.46E-07
Os01g0753150,119.737855,3.11186254,0.281477202,11.05546922,2.06E-28,3.66E-26
Os01g0753300,212.683766,2.127625947,0.336197682,6.328496775,2.48E-10,5.79E-09
Os01g0760000,420.7820886,2.128017843,0.168848497,12.60311982,2.03E-36,6.33E-34
Os01g0762300,201.5532439,-3.310902561,0.931494578,-3.554398103,0.000378845,0.002196028
Os01g0765600,4277.876251,-2.560152805,0.201977321,-12.67544688,8.09E-37,2.77E-34
Os01g0772500,833.7471001,4.360444296,0.336154928,12.97153167,1.77E-38,6.83E-36
Os01g0773400,43.33517622,2.055215885,0.506004951,4.061651729,4.87E-05,0.000373425
Os01g0773700,1017.468876,-3.907360405,1.270823542,-3.074667941,0.00210737,0.009325405
Os01g0786800,73.17463097,-2.607264111,0.498055964,-5.23488182,1.65E-07,2.28E-06
Os01g0795100,19.24082871,-2.605301596,0.670655071,-3.88471169,0.000102451,0.000708602
Os01g0795700,14.1480343,2.897825476,0.677326661,4.27832779,1.88E-05,0.000160701
Os01g0795900,11.63171374,3.687818617,1.002455964,3.678783658,0.000234349,0.001454681
Os01g0806101,6.239061692,4.426667148,1.391232382,3.181831595,0.001463469,0.006882924
Os01g0814100,3.928266006,5.899926433,1.753545581,3.36456976,0.000766631,0.003988419
Os01g0821600,117.2205467,3.659550082,0.336317274,10.8812433,1.42E-27,2.32E-25
Os01g0822800,429.1759962,-2.200131134,0.225704966,-9.747818903,1.88E-22,2.00E-20
Os01g0825500,62.21633243,-2.500561915,0.38910745,-6.426404618,1.31E-10,3.20E-09
Os01g0832600,215.0459113,2.162895336,0.420412998,5.144691873,2.68E-07,3.55E-06
Os01g0836600,1436.555884,2.323602931,0.254612336,9.126042241,7.10E-20,5.75E-18
Os01g0840100,1382.658964,2.497390578,0.32707518,7.635524584,2.25E-14,9.95E-13
Os01g0847700,480.4050466,2.532113351,0.263497369,9.609634273,7.28E-22,7.17E-20
Os01g0848200,113.8862811,2.069070891,0.366006862,5.653093171,1.58E-08,2.67E-07
Os01g0848900,31.57247119,3.143932508,0.668486854,4.703058095,2.56E-06,2.70E-05
Os01g0850900,2467.183312,2.276122768,0.665820404,3.418523607,0.000629619,0.0033843
Os01g0857200,48.97837666,-2.771790936,0.633111509,-4.378045407,1.20E-05,0.00010744
Os01g0859200,342.4889154,-2.003083233,0.405719017,-4.937119411,7.93E-07,9.39E-06
Os01g0860601,1370.751475,-2.242916349,0.448206981,-5.004197714,5.61E-07,6.88E-06
Os01g0863300,221.4133396,2.087869738,0.168463891,12.39357423,2.83E-35,8.23E-33
Os01g0864500,346.7495904,2.084839721,0.190371808,10.95141002,6.54E-28,1.10E-25
Os01g0869400,33.82433148,7.903504824,1.251007693,6.317710809,2.65E-10,6.15E-09
Os01g0869450,60.72823431,6.469383693,0.730340178,8.85804162,8.14E-19,6.00E-17
Os01g0870350,9.666854833,-3.683458972,1.100812865,-3.346126385,0.00081949,0.00421022
Os01g0871733,4.075402708,-5.198008519,1.520592176,-3.41841067,0.00062988,0.003385091
Os01g0879300,10.78313157,2.161465077,0.615156326,3.513684221,0.000441938,0.002500631
Os01g0881800,592.2899604,-2.820944038,0.34210688,-8.245797457,1.64E-16,9.46E-15
Os01g0891700,22.45911635,-3.135367063,0.664244343,-4.72020138,2.36E-06,2.50E-05
Os01g0893700,204.4043049,4.447432884,0.526475203,8.44756384,2.97E-17,1.86E-15
Os01g0896500,212.2921456,-3.603554807,1.148418034,-3.137842406,0.001701964,0.007812482
Os01g0899100,9.908686359,5.328023147,1.290158103,4.129744359,3.63E-05,0.000287623
Os01g0899200,209.7997172,-2.249556651,0.301649068,-7.45752892,8.82E-14,3.54E-12
Os01g0903100,65.8953155,3.669056285,0.446726671,8.213201776,2.15E-16,1.22E-14
Os01g0919100,15.40686797,4.810946641,0.923757523,5.208018902,1.91E-07,2.60E-06
Os01g0930800,109.801935,-3.456474685,1.089330997,-3.173025182,0.001508594,0.007058203
Os01g0933300,63.71210616,-2.070727844,0.404290126,-5.121885775,3.02E-07,3.95E-06
Os01g0934800,4118.666511,3.408598915,0.697072243,4.889878986,1.01E-06,1.17E-05
Os01g0939600,286.6009715,2.073193715,0.280552663,7.389677541,1.47E-13,5.74E-12
Os01g0944500,3.667409089,-5.785075144,1.668279054,-3.467690331,0.000524952,0.002907094
Os01g0944900,26.53315487,2.358620585,0.66712608,3.535494496,0.000407013,0.002334201
Os01g0949900,3233.924491,2.243058236,0.209025296,10.73103724,7.28E-27,1.10E-24
Os01g0954000,451.4457214,3.945620927,0.449701477,8.773866944,1.73E-18,1.24E-16
Os01g0955100,736.920508,2.763939056,0.207773624,13.30264644,2.23E-40,1.09E-37
Os01g0959100,181.9852168,3.989220805,0.333722876,11.953693,6.21E-33,1.59E-30
Os01g0959200,163.5314855,2.687668883,0.354697994,7.577344463,3.53E-14,1.50E-12
Os01g0968100,15.68733416,3.313131482,0.671169119,4.936358646,7.96E-07,9.42E-06
Os01g0968200,4.979136276,5.246360428,1.493854834,3.511961343,0.000444813,0.00251261
Os01g0968300,40.2340498,3.265482891,0.428203531,7.626006458,2.42E-14,1.06E-12
Os01g0968350,81.68739859,3.10011078,0.414656057,7.476342683,7.64E-14,3.11E-12
Os01g0973000,170.5416061,2.126848201,0.203720744,10.44001784,1.63E-25,2.18E-23
Os01g0975300,30535.33476,-2.024719828,0.308142821,-6.570718804,5.01E-11,1.32E-09
Os02g0106100,1435.272796,2.117942633,0.399810425,5.297367201,1.17E-07,1.67E-06
Os02g0106201,13.05264414,7.109151084,1.665196764,4.269255885,1.96E-05,0.000166208
Os02g0117700,20.77502172,2.198797309,0.593685801,3.70363803,0.000212529,0.001335556
Os02g0121700,25.88446365,6.213290021,0.939147875,6.6158804,3.69E-11,1.01E-09
Os02g0129300,17.26680094,-3.022793012,0.983802954,-3.072559397,0.002122316,0.009373351
Os02g0129800,1219.77353,2.877621551,0.289477354,9.940748419,2.77E-23,3.15E-21
Os02g0139500,126.8692111,-2.183925995,0.4753828,-4.594036623,4.35E-06,4.31E-05
Os02g0140200,49.7588657,-4.231522505,0.660484128,-6.406698246,1.49E-10,3.60E-09
Os02g0140500,20.05256295,-4.767757855,0.8104316,-5.882986122,4.03E-09,7.63E-08
Os02g0142750,6.458653978,-3.492996564,1.080242299,-3.233530631,0.001222702,0.005914782
Os02g0143200,14.42610319,2.185551869,0.584980679,3.736109497,0.000186889,0.001193483
Os02g0156000,39.13790476,5.018889373,0.647702396,7.748758384,9.28E-15,4.32E-13
Os02g0159800,44.13138114,3.115543726,0.568540975,5.479893029,4.26E-08,6.58E-07
Os02g0166200,395.4139055,-2.06677355,0.301515352,-6.854621279,7.15E-12,2.20E-10
Os02g0168100,994.3623242,2.38227354,0.281158731,8.473055516,2.39E-17,1.50E-15
Os02g0168200,13.72627618,3.239815089,0.740639093,4.374350641,1.22E-05,0.000109111
Os02g0178800,60.56125346,2.372539783,0.539265452,4.399576819,1.08E-05,9.83E-05
Os02g0187700,356.6867692,2.061341642,0.228512612,9.020690909,1.87E-19,1.46E-17
Os02g0205200,147.2616689,3.093666131,0.293358504,10.54568415,5.32E-26,7.40E-24
Os02g0206700,12.53697713,-2.017125787,0.57315288,-3.519350348,0.000432605,0.002460031
Os02g0207400,8.971994242,-2.348718075,0.754337761,-3.113615937,0.001848099,0.008356501
Os02g0208675,68.79947904,-4.150169683,0.804954012,-5.155784832,2.53E-07,3.36E-06
Os02g0209900,8.939817914,2.656872792,0.805604381,3.297987021,0.000973806,0.004862307
Os02g0212300,228.9659167,2.938499675,0.255406311,11.50519602,1.24E-30,2.56E-28
Os02g0212400,265.498292,2.125796348,0.268280978,7.923768444,2.30E-15,1.14E-13
Os02g0212500,191.8093486,2.874098373,0.32919996,8.730555047,2.53E-18,1.78E-16
Os02g0214400,15.96411809,3.679087736,0.66427997,5.538459538,3.05E-08,4.85E-07
Os02g0214900,283.9410552,2.038667708,0.254218949,8.019338107,1.06E-15,5.49E-14
Os02g0222100,776.1505777,2.541907288,0.149297882,17.02574242,5.29E-65,8.26E-62
Os02g0226400,18.16883809,-2.805434993,0.663916916,-4.225581432,2.38E-05,0.000198396
Os02g0252400,6.234494136,5.570121288,1.442959673,3.860205792,0.000113292,0.0007749
Os02g0259850,19.34170862,3.759504434,0.712433028,5.276993468,1.31E-07,1.85E-06
Os02g0259900,40.54396967,3.662265686,0.54548099,6.713828266,1.90E-11,5.40E-10
Os02g0267700,20.18108628,3.485361806,0.637829222,5.464412236,4.64E-08,7.13E-07
Os02g0267900,69.20646829,3.228137603,0.461947204,6.988109406,2.79E-12,9.12E-11
Os02g0267975,7.603539998,3.93037327,1.222914024,3.213940795,0.001309267,0.006274151
Os02g0268050,40.95289424,4.41064221,0.708485624,6.225450539,4.80E-10,1.08E-08
Os02g0268400,40.95289424,4.41064221,0.708485624,6.225450539,4.80E-10,1.08E-08
Os02g0268500,7.603539998,3.93037327,1.222914024,3.213940795,0.001309267,0.006274151
Os02g0268600,19.01869812,2.954981556,0.635151013,4.652407848,3.28E-06,3.37E-05
Os02g0270200,299.3835429,3.109390836,0.27774075,11.19529936,4.30E-29,8.02E-27
Os02g0271000,28.00276289,3.134898158,0.699676916,4.480493907,7.45E-06,7.01E-05
Os02g0280200,40.41145578,3.271239366,0.433007615,7.554692464,4.20E-14,1.77E-12
Os02g0318100,1367.197023,3.401491534,0.190462625,17.85910247,2.46E-71,4.85E-68
Os02g0332450,69.16303497,2.928250537,0.386760987,7.57121487,3.70E-14,1.57E-12
Os02g0484200,29.25194982,5.11709201,0.662539138,7.723456194,1.13E-14,5.20E-13
Os02g0484975,160.7383946,2.007298283,0.204699083,9.8060932,1.06E-22,1.17E-20
Os02g0485000,78.86758204,2.267062087,0.442060746,5.12839493,2.92E-07,3.83E-06
Os02g0491600,12.39121653,5.580372707,1.170476324,4.76760836,1.86E-06,2.03E-05
Os02g0511100,32.466378,5.428501794,0.954029668,5.690076501,1.27E-08,2.20E-07
Os02g0511600,16.86109737,2.862373089,0.666330507,4.295725708,1.74E-05,0.000150084
Os02g0517421,28.31410553,3.355120921,0.570463432,5.88139525,4.07E-09,7.70E-08
