gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Os06g0612800,20989.50998,-2.384601452,0.346313629,-6.885670246,5.75E-12,1.80E-10
Os06g0620200,29.60775316,2.722270654,0.426328799,6.385378278,1.71E-10,4.11E-09
Os06g0620700,250.3123541,2.881665,0.257966516,11.17069393,5.67E-29,1.04E-26
Os06g0626700,6.967549941,-2.753720628,0.83749597,-3.288040453,0.001008873,0.005015436
Os06g0636700,30.36873869,2.325380162,0.486425428,4.780548111,1.75E-06,1.91E-05
Os06g0641800,26.85601426,-2.715049796,0.515162012,-5.270283393,1.36E-07,1.91E-06
Os06g0641866,251.1526284,-2.337511758,0.338504509,-6.905408032,5.01E-12,1.59E-10
Os06g0641932,99.18496389,-2.81649086,0.525167297,-5.363035501,8.18E-08,1.20E-06
Os06g0650300,48.18485198,2.261016534,0.420009698,5.3832484,7.32E-08,1.08E-06
Os06g0651000,1227.619186,2.127832084,0.181745146,11.70777944,1.16E-31,2.69E-29
Os06g0652250,97.77913642,2.120946784,0.345119675,6.145540046,7.97E-10,1.73E-08
Os06g0653200,30.03780666,4.481074886,0.657665906,6.813603754,9.52E-12,2.85E-10
Os06g0657750,5.029640638,-3.897837822,1.261493529,-3.089859545,0.002002512,0.00893154
Os06g0663800,282.4383028,-2.765530584,0.900233331,-3.072015318,0.002126188,0.009383463
Os06g0692600,230.0690256,-2.744265515,0.289548884,-9.477727814,2.60E-21,2.42E-19
Os06g0694200,9.45724771,-3.670237248,0.908935459,-4.037951444,5.39E-05,0.000408069
Os06g0698200,26.22241084,2.484842898,0.723579539,3.434097792,0.00059453,0.003227408
Os06g0704200,22.06755949,-2.748243632,0.810201677,-3.392048807,0.000693721,0.003670294
Os06g0725350,14.81854281,5.995565168,1.282421532,4.675190659,2.94E-06,3.05E-05
Os06g0727900,18.26619639,2.140749469,0.662744733,3.230126719,0.001237354,0.00597688
Os07g0104750,121.6615658,2.480419949,0.249686922,9.934120433,2.96E-23,3.35E-21
Os07g0116600,421.7545891,-2.148530424,0.395855152,-5.427567157,5.71E-08,8.64E-07
Os07g0119600,18.02939896,-2.881301212,0.704974439,-4.087100261,4.37E-05,0.000338433
Os07g0121100,19.5215732,2.112831572,0.588367551,3.591006282,0.000329404,0.001946266
Os07g0142700,3671.777963,2.176003479,0.319758248,6.805151985,1.01E-11,3.00E-10
Os07g0152200,20.10851982,7.045142968,1.317347936,5.347974346,8.89E-08,1.29E-06
Os07g0157000,20.72193362,7.38697914,1.269636738,5.818183201,5.95E-09,1.09E-07
Os07g0163200,11.12921666,-2.396674606,0.740841553,-3.235070437,0.001216127,0.005888742
Os07g0167500,76.27809042,3.631692749,0.343066545,10.58597174,3.46E-26,4.93E-24
Os07g0170000,559.5752715,3.95296328,0.28325285,13.95559932,2.91E-44,1.87E-41
Os07g0196200,64.32948003,-3.279279731,0.824647531,-3.976583461,6.99E-05,0.000509138
Os07g0196300,32.70089477,-2.499206962,0.437954193,-5.706548768,1.15E-08,2.01E-07
Os07g0197500,4.286339551,-5.975858695,1.674848214,-3.568000159,0.000359716,0.002097861
Os07g0206600,48.23482147,-3.90265688,0.711499108,-5.485118444,4.13E-08,6.40E-07
Os07g0209100,1718.721191,2.135570548,0.332927392,6.414523414,1.41E-10,3.44E-09
Os07g0211601,28.33676736,-3.086366056,0.785480797,-3.929269903,8.52E-05,0.000605415
Os07g0211700,29.32004752,-2.42516723,0.56279031,-4.309184411,1.64E-05,0.000141988
Os07g0214900,56.53309069,-3.482231986,0.92408209,-3.768314552,0.000164354,0.001068208
Os07g0225300,2241.984867,2.467193602,0.188065284,13.11881464,2.57E-39,1.10E-36
Os07g0241500,136.6520343,2.696090995,0.495630526,5.439719419,5.34E-08,8.12E-07
Os07g0241751,250.781366,2.282885433,0.387943411,5.884583598,3.99E-09,7.56E-08
Os07g0244100,12.9382281,3.343689521,0.797066771,4.194992994,2.73E-05,0.000223667
Os07g0245100,2149.3215,2.340374216,0.167198584,13.99757201,1.61E-44,1.09E-41
Os07g0281900,14.72482722,3.136710425,0.689502383,4.549237973,5.38E-06,5.22E-05
Os07g0296000,116.860041,2.226282733,0.259421137,8.581732222,9.35E-18,6.14E-16
Os07g0409500,21.24391946,2.886325397,0.604299773,4.776313884,1.79E-06,1.95E-05
Os07g0410300,246.8041947,2.107723338,0.438116427,4.810874939,1.50E-06,1.67E-05
Os07g0418500,366.0356104,3.158699859,0.291235631,10.8458565,2.09E-27,3.34E-25
Os07g0445800,15.59344188,3.052441098,0.630035089,4.844874754,1.27E-06,1.43E-05
Os07g0449700,6.551458398,6.592474342,1.443574515,4.566771077,4.95E-06,4.84E-05
Os07g0451201,20.61796512,-7.255649896,1.338938117,-5.418958357,5.99E-08,9.03E-07
Os07g0459000,17.96365397,-3.308604804,0.83732177,-3.951413808,7.77E-05,0.000557914
Os07g0462500,87.00615635,-3.698404746,0.451579591,-8.189928911,2.61E-16,1.45E-14
Os07g0463600,12.95857445,-3.780501355,0.824347963,-4.586050463,4.52E-06,4.46E-05
Os07g0464001,10.38991505,3.148742294,1.010986257,3.114525317,0.001842411,0.008342694
Os07g0469100,128.1274083,-2.614095344,0.741759937,-3.524179741,0.000424796,0.00242213
Os07g0480900,21.04984209,-3.333282384,0.80878009,-4.121370477,3.77E-05,0.000296737
Os07g0484200,47.19378316,5.084256455,0.534648363,9.509533385,1.92E-21,1.79E-19
Os07g0485000,12.6447884,2.226499775,0.698446591,3.187788162,0.001433655,0.006758791
Os07g0499500,143.0221451,3.930404371,0.337655622,11.64027522,2.57E-31,5.78E-29
Os07g0516100,11.31110277,-3.13686172,1.003014568,-3.127433859,0.001763395,0.008043618
Os07g0517800,5.507607291,5.012927224,1.508354352,3.32344135,0.000889141,0.00450482
Os07g0517900,35.06365067,-3.868167232,0.629698588,-6.142886941,8.10E-10,1.75E-08
Os07g0518500,114.6070547,-2.632247603,0.311851302,-8.44071385,3.15E-17,1.96E-15
Os07g0520800,249.3092731,-2.536973205,0.6664143,-3.806900909,0.000140719,0.00093468
Os07g0533600,15.12762786,2.776257236,0.733807434,3.783359377,0.000154726,0.001016103
Os07g0534500,28.59011966,2.239965928,0.48275102,4.640002479,3.48E-06,3.55E-05
Os07g0541850,6.119973413,-6.096366092,1.5029913,-4.056155277,4.99E-05,0.000380559
Os07g0542800,47.01392198,-2.275885062,0.360938737,-6.305460808,2.87E-10,6.63E-09
Os07g0542900,189.8191157,3.761794621,0.495172205,7.596942195,3.03E-14,1.31E-12
Os07g0561300,84.07109487,2.065582352,0.432445992,4.776509413,1.78E-06,1.95E-05
Os07g0575000,75.55536512,-2.361182891,0.526629758,-4.483572865,7.34E-06,6.93E-05
Os07g0587300,15.84130918,2.32789664,0.637027258,3.65431245,0.000257872,0.001573885
Os07g0593400,37.51791209,2.566486548,0.50892504,5.042955931,4.58E-07,5.74E-06
Os07g0597200,3263.784461,2.354458202,0.175334342,13.42839159,4.12E-41,2.18E-38
Os07g0599300,90.7588949,2.185279835,0.472270862,4.627174812,3.71E-06,3.74E-05
Os07g0602000,49.13547508,3.040582912,0.428249807,7.100021673,1.25E-12,4.30E-11
Os07g0603700,5.399617696,-5.775033425,1.455855441,-3.96676295,7.29E-05,0.000527663
Os07g0605600,45.41357557,-2.926383031,0.767643098,-3.812166148,0.000137754,0.00091663
Os07g0605800,651.277465,2.195338533,0.692304123,3.171060895,0.001518833,0.007097145
Os07g0611200,10.60876933,-3.916937161,0.936059794,-4.184494608,2.86E-05,0.000232886
Os07g0611400,24.74678524,-2.255832649,0.562617905,-4.009528723,6.08E-05,0.000452924
Os07g0611500,26.3818477,-3.79245462,0.669647428,-5.663360246,1.48E-08,2.53E-07
Os07g0612200,21.15180007,-2.451549882,0.520421623,-4.710699502,2.47E-06,2.61E-05
Os07g0625600,99.14267987,2.592249365,0.421942331,6.143610567,8.07E-10,1.75E-08
Os07g0629500,101.1350146,2.291433853,0.262200853,8.739231112,2.35E-18,1.65E-16
Os07g0630800,39.27744009,-4.057785632,0.807841239,-5.022998874,5.09E-07,6.31E-06
Os07g0631200,121.3798335,2.561351667,0.357487661,7.16486733,7.79E-13,2.79E-11
Os07g0635500,2647.490741,2.811425122,0.266034038,10.56791508,4.20E-26,5.90E-24
Os07g0638100,18208.83754,2.900509249,0.31367996,9.246715184,2.31E-20,1.98E-18
Os07g0638300,44.20421795,5.463949686,0.835016519,6.543522869,6.01E-11,1.55E-09
Os07g0638400,8153.761404,4.835535168,0.411437173,11.75279115,6.83E-32,1.63E-29
Os07g0638600,158.3083858,3.771948751,0.254928086,14.79612861,1.55E-49,1.35E-46
Os07g0638801,187.1257906,4.014167114,0.259722943,15.45557382,6.92E-54,7.89E-51
Os07g0643000,87.54157827,2.868223002,0.368418515,7.785230354,6.96E-15,3.27E-13
Os07g0643800,21.66358793,2.592556597,0.715241594,3.624728507,0.000289265,0.001739705
Os07g0663700,212.4443415,-2.299760745,0.405153751,-5.676266693,1.38E-08,2.36E-07
Os07g0665100,21.54356525,-3.061560433,0.948726293,-3.227021805,0.001250859,0.006034251
Os07g0668500,28.91532611,2.441026894,0.585037373,4.172428991,3.01E-05,0.000243494
Os07g0673600,271.4407243,-4.398013698,1.431144273,-3.073075009,0.002118652,0.009361355
Os07g0687000,100.6475652,3.389683473,0.375075303,9.037341148,1.61E-19,1.26E-17
Os07g0687100,33.16736123,2.379330041,0.49143697,4.841577223,1.29E-06,1.45E-05
Os07g0687900,96.5122835,2.188461969,0.69839061,3.133578743,0.001726886,0.007907533
Os07g0693100,24.02552748,3.248411753,0.547283783,5.935516186,2.93E-09,5.72E-08
Os08g0105700,192.1718197,3.153838046,0.545521602,5.781325682,7.41E-09,1.33E-07
Os08g0112300,114.7019221,2.404510107,0.367265554,6.547061326,5.87E-11,1.53E-09
Os08g0112900,100.7201364,-2.170324992,0.423042156,-5.130280658,2.89E-07,3.80E-06
Os08g0112950,879.6687679,-3.405338784,0.763864804,-4.458038605,8.27E-06,7.68E-05
Os08g0117100,45.7171771,-2.236647809,0.669917566,-3.338691091,0.000841741,0.004310343
Os08g0126500,11.69848164,4.27675417,0.975238963,4.385339731,1.16E-05,0.000104217
Os08g0138400,132.0768139,2.701828979,0.305790145,8.835565907,9.96E-19,7.21E-17
Os08g0152000,9.075575417,-4.514802161,1.061362919,-4.25377793,2.10E-05,0.000177067
Os08g0153750,163.952048,2.353859593,0.336684135,6.991299414,2.72E-12,8.94E-11
Os08g0153900,138.8325601,2.566836531,0.298660927,8.594483896,8.36E-18,5.52E-16
Os08g0154225,10.63609613,-2.36232229,0.658271464,-3.588674917,0.000332363,0.00196032
Os08g0155900,2489.657428,2.592205387,0.332227158,7.802508985,6.07E-15,2.87E-13
Os08g0156000,2578.46535,2.217272088,0.373112547,5.942636091,2.80E-09,5.50E-08
Os08g0156100,744.7243175,2.986759105,0.386423304,7.729241682,1.08E-14,4.99E-13
Os08g0158400,145.6973907,-2.13275813,0.304172552,-7.011671882,2.35E-12,7.80E-11
Os08g0163400,106.5210302,-2.319354273,0.633916224,-3.658770962,0.000253428,0.00155059
Os08g0167249,47.97846004,2.533776379,0.416022886,6.090473533,1.13E-09,2.36E-08
Os08g0174000,8.179896071,5.571793653,1.417624296,3.930373985,8.48E-05,0.00060322
Os08g0174100,9.521272647,3.178538656,0.92331439,3.442531265,0.000576297,0.003144442
Os08g0174300,33.38680949,6.233963759,1.192612121,5.227151099,1.72E-07,2.37E-06
Os08g0183900,51.24734059,-3.508516751,1.110189834,-3.160285425,0.001576147,0.007319957
Os08g0185900,417.2571775,3.552404144,0.236052142,15.04923492,3.49E-51,3.24E-48
Os08g0188900,75.80302371,2.118288231,0.35485804,5.969396186,2.38E-09,4.73E-08
Os08g0202300,420.030755,-2.175844132,0.476096857,-4.570171174,4.87E-06,4.78E-05
Os08g0203400,112.0535547,-5.351943493,0.638829164,-8.377738201,5.40E-17,3.24E-15
Os08g0205800,570.6283662,3.238043136,0.231609428,13.98061885,2.05E-44,1.35E-41
Os08g0247700,39.22885074,-3.154029671,0.526479914,-5.990788222,2.09E-09,4.18E-08
Os08g0277300,95.00708194,-3.131711348,0.387443962,-8.083004651,6.32E-16,3.40E-14
Os08g0278501,8.267915034,-5.692030111,1.459560489,-3.899824743,9.63E-05,0.000673019
Os08g0298700,9.272951202,3.855435574,1.040187678,3.706480719,0.000210159,0.001322805
Os08g0313200,69.35114164,-2.111457024,0.532076378,-3.968334456,7.24E-05,0.000524709
Os08g0334900,233.0415224,2.531288668,0.309981274,8.165940584,3.19E-16,1.75E-14
Os08g0346900,277.649525,3.043338096,0.384936116,7.906086161,2.66E-15,1.30E-13
Os08g0347000,110.5429922,2.768762609,0.377978978,7.325176183,2.39E-13,9.01E-12
Os08g0348300,100.9792269,3.589972487,0.470864271,7.624219357,2.46E-14,1.08E-12
Os08g0349300,122.713217,3.726743339,0.522270685,7.135654831,9.63E-13,3.41E-11
Os08g0352100,83.30504482,3.859276741,0.472507461,8.167652498,3.14E-16,1.73E-14
Os08g0360300,234.1982718,2.740373425,0.225091173,12.17450417,4.25E-34,1.13E-31
Os08g0383800,29.96778275,-3.12062158,0.53156251,-5.870657765,4.34E-09,8.18E-08
Os08g0387050,113.1842846,2.445204326,0.318776859,7.67058291,1.71E-14,7.67E-13
Os08g0391300,12.92102058,3.392129661,0.704359875,4.815904175,1.47E-06,1.63E-05
Os08g0395700,1194.583509,2.559537913,0.346064336,7.39613317,1.40E-13,5.48E-12
Os08g0404500,244.7709972,3.616959729,0.285704611,12.65978774,9.88E-37,3.22E-34
Os08g0404700,46.16328737,2.030087117,0.403003308,5.03739567,4.72E-07,5.89E-06
Os08g0412700,958.9489905,4.171995562,0.263836015,15.81283575,2.54E-56,3.01E-53
Os08g0424100,57.90104909,2.010657568,0.487865173,4.121338596,3.77E-05,0.000296737
Os08g0425300,8.829830809,5.112674753,1.193197,4.284853846,1.83E-05,0.000156803
Os08g0425500,209.6941233,-2.789360934,0.450604293,-6.190267112,6.01E-10,1.32E-08
Os08g0427600,10.9570573,-2.621328831,0.79557761,-3.294875067,0.000984654,0.004909031
Os08g0429800,61.47060912,-2.677733196,0.34078591,-7.857523213,3.92E-15,1.89E-13
Os08g0455600,88.39164273,-2.121524082,0.332753056,-6.375671218,1.82E-10,4.36E-09
Os08g0456200,12.75299157,-2.915519046,0.889761012,-3.276743989,0.001050115,0.005190866
Os08g0463900,43.93616188,-2.126598122,0.69731586,-3.049691317,0.002290767,0.009989334
Os08g0469600,165.781167,-2.479494606,0.382864933,-6.476160102,9.41E-11,2.37E-09
Os08g0470000,19.78588129,-2.818119263,0.660744455,-4.265066839,2.00E-05,0.000169068
Os08g0473900,84.91891886,2.340315255,0.609983999,3.836683026,0.000124707,0.000841835
Os08g0474866,152.5178697,-2.974147982,0.297094484,-10.01078157,1.37E-23,1.59E-21
Os08g0477100,933.4525909,-3.338928369,0.294258292,-11.34693043,7.68E-30,1.50E-27
Os08g0478466,16.39273366,-2.743407621,0.724205602,-3.788161283,0.000151766,0.000999991
Os08g0478700,1418.412465,2.160177665,0.268377197,8.049035804,8.34E-16,4.36E-14
Os08g0485400,914.6911729,2.392012019,0.227911045,10.49537561,9.07E-26,1.26E-23
Os08g0494300,84.92827095,2.267433,0.390094073,5.812528717,6.15E-09,1.13E-07
Os08g0504500,116.1646154,-2.679012829,0.797120898,-3.360861365,0.000776998,0.004031159
Os08g0508000,156.6470655,4.000201219,0.281424169,14.21413529,7.49E-46,5.55E-43
Os08g0508500,72.52482356,2.172763042,0.385605026,5.634685485,1.75E-08,2.95E-07
Os08g0509100,1372.267763,2.078497556,0.163986086,12.67484091,8.15E-37,2.77E-34
Os08g0514000,201.2351621,2.204896912,0.22618545,9.748181933,1.88E-22,2.00E-20
Os08g0518900,50.68114404,2.141328917,0.448046588,4.779255042,1.76E-06,1.93E-05
Os08g0520600,30.3678182,3.545154695,0.558509055,6.347533067,2.19E-10,5.16E-09
Os08g0529100,536.5142665,2.689917595,0.212189575,12.67695451,7.94E-37,2.77E-34
Os08g0530801,29.0507074,-2.131843108,0.59797346,-3.565113253,0.000363699,0.00211734
Os08g0540400,48.23555239,-2.1588327,0.423312229,-5.09985905,3.40E-07,4.40E-06
Os08g0545300,34.54895639,-2.790107129,0.644234614,-4.330886715,1.49E-05,0.000130249
Os08g0545700,32.40600739,-3.29446407,1.059480878,-3.109507816,0.001873993,0.008447072
Os08g0549200,89.87476721,-2.623487632,0.398292144,-6.586842522,4.49E-11,1.20E-09
Os08g0551300,18.48903786,-2.501234808,0.557845345,-4.483742368,7.33E-06,6.92E-05
Os08g0552300,23.21859003,5.285666633,1.087139748,4.861993723,1.16E-06,1.32E-05
Os08g0552400,22.69933759,2.456348032,0.525454521,4.674711003,2.94E-06,3.05E-05
Os08g0553100,10.75315864,3.349016352,1.01179829,3.309964431,0.000933078,0.004691345
Os08g0557600,4760.649509,2.364255075,0.252941266,9.347051621,9.01E-21,7.90E-19
Os09g0124166,10.7264828,-3.984474017,1.209828834,-3.293419618,0.000989766,0.004932028
Os09g0238700,14.71478487,2.458698297,0.588845361,4.175456684,2.97E-05,0.000240869
Os09g0279500,340.7716987,-2.493479233,0.807766053,-3.086882921,0.002022672,0.008994915
Os09g0279900,19.34996256,-2.563404891,0.776384464,-3.301721004,0.000960936,0.004811009
Os09g0309200,163.2110436,2.756040199,0.348207729,7.914931152,2.47E-15,1.22E-13
Os09g0319701,15.66135948,6.923080081,1.337708971,5.175326048,2.28E-07,3.06E-06
Os09g0322800,28.98219403,-2.276569734,0.499795711,-4.555000541,5.24E-06,5.10E-05
Os09g0323700,75.87346918,4.299716178,0.361764199,11.88541095,1.41E-32,3.48E-30
Os09g0330000,85.55320026,-2.441629594,0.327106229,-7.464332315,8.37E-14,3.37E-12
Os09g0332600,750.5682597,2.073158606,0.196136762,10.56996446,4.11E-26,5.80E-24
Os09g0332700,2317.218392,2.103774361,0.211062631,9.967535942,2.11E-23,2.42E-21
Os09g0345600,11.32231853,4.771907748,1.03614363,4.605450063,4.12E-06,4.10E-05
Os09g0353200,27.32170985,-3.091784171,0.5376698,-5.750340027,8.91E-09,1.58E-07
Os09g0361300,317.0687209,-2.046150345,0.304494354,-6.719830167,1.82E-11,5.21E-10
Os09g0364400,839.1637363,2.693171527,0.207679205,12.9679403,1.86E-38,7.07E-36
Os09g0367700,4124.305664,4.834155384,0.290938686,16.61571874,5.36E-62,6.91E-59
Os09g0379600,291.4673706,-2.354099945,0.24619178,-9.562057447,1.15E-21,1.10E-19
Os09g0385700,469.7274888,2.719956181,0.214621932,12.67324429,8.32E-37,2.77E-34
Os09g0391800,29.40618154,-2.113478471,0.51690805,-4.088693281,4.34E-05,0.000336646
Os09g0394600,1062.607481,-2.65172224,0.198203491,-13.37878677,8.04E-41,4.04E-38
Os09g0398300,27.73218057,-2.373657936,0.629715601,-3.769412625,0.000163632,0.001064219
Os09g0400400,4341.151981,2.308279338,0.156270598,14.77104051,2.25E-49,1.91E-46
Os09g0403300,736.1072551,-2.597467069,0.309488685,-8.392769089,4.75E-17,2.88E-15
Os09g0409100,7884.591751,-4.995173454,0.453435294,-11.01628725,3.19E-28,5.50E-26
Os09g0414600,56.35387912,-2.649742899,0.676510436,-3.916780523,8.97E-05,0.000632636
Os09g0414701,41.01413736,-3.629069626,0.630604616,-5.754904949,8.67E-09,1.54E-07
Os09g0417800,974.6419333,2.450105,0.426797402,5.740674593,9.43E-09,1.67E-07
Os09g0419600,75.49872179,2.684324575,0.355292391,7.555254891,4.18E-14,1.76E-12
Os09g0433800,639.809135,-3.774233783,0.331534657,-11.38413044,5.02E-30,1.01E-27
Os09g0435700,113.0269586,4.367200211,0.603819732,7.232622555,4.74E-13,1.74E-11
Os09g0443400,61.49858178,-2.176411739,0.488463129,-4.45563157,8.36E-06,7.76E-05
Os09g0444900,1163.576592,3.786506592,0.368611607,10.2723477,9.39E-25,1.20E-22
Os09g0452700,118.79364,-4.293413704,1.223614681,-3.508795516,0.000450141,0.002538325
Os09g0452800,16.57131757,-3.30596212,0.88784041,-3.723599514,0.000196402,0.00124618
Os09g0454600,1331.727682,2.66819771,0.34489269,7.736312741,1.02E-14,4.73E-13
Os09g0458300,23.68354189,2.425336424,0.465073786,5.214949747,1.84E-07,2.52E-06
Os09g0465400,392.7934059,2.038608018,0.298489629,6.829744897,8.51E-12,2.56E-10
Os09g0467300,115.9984904,-2.287972255,0.349760982,-6.541530853,6.09E-11,1.57E-09
Os09g0471550,22.57643595,-2.070005378,0.491284455,-4.213455888,2.51E-05,0.000208131
Os09g0491596,29.71300627,2.998018534,0.63797095,4.69930258,2.61E-06,2.75E-05
Os09g0492900,101.8079263,4.198489752,0.554893852,7.566293508,3.84E-14,1.63E-12
Os09g0493000,247.2734135,3.17944905,0.379166743,8.385358446,5.06E-17,3.04E-15
Os09g0501100,103.58525,2.679156482,0.368325077,7.273891045,3.49E-13,1.30E-11
Os09g0511200,66.37077458,-3.064118328,0.425724663,-7.197417941,6.14E-13,2.22E-11
Os09g0511300,165.2516608,-2.38442523,0.393708619,-6.056319609,1.39E-09,2.89E-08
Os09g0515550,104.2473724,2.438254641,0.327114094,7.453835488,9.07E-14,3.63E-12
Os09g0517200,229.7558217,2.39938884,0.251337273,9.54649029,1.34E-21,1.27E-19
Os09g0518200,7099.697301,4.823876978,0.355235648,13.5793719,5.31E-42,2.97E-39
Os09g0518266,218.6982569,3.857514733,0.41238076,9.354254872,8.42E-21,7.41E-19
Os09g0520200,1582.899444,2.005596514,0.171965367,11.66279323,1.97E-31,4.47E-29
Os09g0526500,37.94267139,2.797627616,0.512615049,5.457560449,4.83E-08,7.39E-07
Os09g0527700,29.1634608,2.324160284,0.383744537,6.056529962,1.39E-09,2.88E-08
Os09g0528000,9.446972795,2.739247663,0.759440122,3.606930401,0.000309841,0.001845473
